"stop_id","pid","reason_for_stop","reason_for_stopcode","reason_for_stop_code_text","reason_for_stop_detail","reason_for_stop_explanation"
"23","1","Traffic Violation","54208","4454(A) VC - NO REGISTRATION IN VEH (I) 54208","Equipment Violation","no valid plate"
"24","1","Reasonable Suspicion","35212","11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212","Officer witnessed commission of a crime","11550"
"25","1","Reasonable Suspicion","35353","11377(A) HS - POSSESS CNTL SUB (M) 35353","Matched suspect description","POSS OF DRUG/PARAPHERNALIA"
"26","1","Traffic Violation","54522","21456.2(A) VC - BICYCLE OPR OBEY VEH LAWS (I) 54522","Moving Violation","Riding across street and onto sidewalk"
"27","1","Reasonable Suspicion","66335","22526(B) VC - BLOCKING INTERSECTION (I) 66335","Officer witnessed commission of a crime","parked vehicle blocking intersection"
"28","1","Traffic Violation","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880","Equipment Violation","no rear plate"
"29","1","Traffic Violation","66412","24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412","Equipment Violation","headlamp out"
"30","1","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Other Reasonable Suspicion of a crime","SUBJECT HAD CALLED ON HIMSELF FOR BEING SUICIDAL.  SUBJECT HAD CALLED 79 TIMES IN THE PAST.  SUBJECT DID NOT MEET CRITERIA AND WAS RELEASED AT THE SCENE ALONG WITH EXTRA RESOURCES."
"31","1","Traffic Violation","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967","Equipment Violation","Tail lamp on vehicle were not working and registration tab was expired."
"32","1","Reasonable Suspicion","32093","602(I) PC - TRESPASS:DESTROY FENCE (M) 32093","Matched suspect description","Possibly tresspassing in a closed business"
"32","2","Reasonable Suspicion","32024","602(B) PC - TRESPASS:REMOVE TIMBER (M) 32024","Matched suspect description","matched subject description"
"33","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Equipment Violation","traffic stop for expired registration"
"33","2","Known to be on Parole / Probation / PRCS / Mandatory Supervision","","","","subject was a passenger and on probation."
"34","1","Reasonable Suspicion","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438","Officer witnessed commission of a crime","subjects were smoking weed in their vehicles"
"34","2","Reasonable Suspicion","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438","Officer witnessed commission of a crime","smoking marijuana in public."
"35","1","Traffic Violation","54149","22108 VC - FAIL SIGNAL B/4 TURN VEH (I) 54149","Moving Violation","PUBLIC OFFENSE"
"36","1","Traffic Violation","66412","24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412","Moving Violation","high beams"
"37","1","Reasonable Suspicion","23087","484(A) PC - PETTY THEFT (M) 23087","Matched suspect description","matching description of package theft suspect"
"38","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","Rolled stop sign"
"39","1","Traffic Violation","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644","Equipment Violation","No plates"
"40","1","Traffic Violation","54212","22348(B) VC - DRIVE IN EXCESS 100 MPH (I) 54212","Moving Violation","SPEED"
"41","1","Traffic Violation","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644","Equipment Violation","traffic stop for vehicle code violation."
"42","1","Reasonable Suspicion","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174","Other Reasonable Suspicion of a crime","RESPONDED TO DV RADIO CALL//LATER DETERMINED NO CRIME"
"43","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","incomplete stop"
"44","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","speeding in residential"
"45","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","PUBIC OFFENSE"
"46","1","Traffic Violation","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571","Non-moving Violation, including Registration Violation","window tint"
"47","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Equipment Violation","exp reg"
"48","1","Reasonable Suspicion","32141","602(L)(3) PC - TRESP TAMPER W/ GATE LOCK (M) 32141","Other Reasonable Suspicion of a crime","AT SUBSTATION CAR GATE"
"49","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","VEH REG EXPIRED"
"50","1","Traffic Violation","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571","Equipment Violation","traffic stop on a vehicle for cvc."
"51","1","Traffic Violation","54144","24603(B) VC - STOPLAMPS VIOL:SPEC VEH (I) 54144","Equipment Violation","Brake light out"
"52","1","Traffic Violation","66412","24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412","Equipment Violation","traffic stop, headlamp out, expired reg, false tabs"
"53","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Equipment Violation","exp reg"
"54","1","Knowledge of outstanding arrest warrant/wanted person","","","","SUBJECT HAS FELONY WARRANT"
"55","1","Traffic Violation","54431","24951(B) VC - TURN SIGNAL VIOLATION (I) 54431","Moving Violation","blinker"
"56","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","UNSAFE SPEED IN RESIDENTIAL"
"57","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Equipment Violation","expired registration"
"58","1","Traffic Violation","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644","Equipment Violation","no back plate"
"59","1","Reasonable Suspicion","33007","558 PC - TRESPASS:CERTAIN UC LAND (M) 33007","Other Reasonable Suspicion of a crime","tresspas"
"60","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","expired registration"
"61","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Equipment Violation","traffic stop for vehicle code violation."
"62","1","Traffic Violation","66881","38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881","Equipment Violation","license plate cover"
"63","1","Reasonable Suspicion","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025","Witness or Victim identification of Suspect at the scene","DV Battery"
"64","1","Traffic Violation","54319","22100(B) VC - LEFT TURN INTERSECTN VIOL (I) 54319","Moving Violation","Illegal left turn"
"65","1","Reasonable Suspicion","64005","647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005","Officer witnessed commission of a crime","Drunk in public"
"66","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","expired registration"
"67","1","Traffic Violation","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571","Equipment Violation","window tint and known probation"
"68","1","Reasonable Suspicion","32080","602.1(B) PC - OBST/ETC BUSNES:PUB AGNCY (M) 32080","Matched suspect description","Male was detained for trespassing by MTS Security."
"69","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","exp reg"
"70","1","Known to be on Parole / Probation / PRCS / Mandatory Supervision","","","","4th waiver seach"
"71","1","Reasonable Suspicion","3","00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3","Other Reasonable Suspicion of a crime","gravely disabled 5150"
"72","1","Traffic Violation","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571","Equipment Violation","t stop"
"73","1","Traffic Violation","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967","Equipment Violation","traffic stop for cvc violation."
"74","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","STOP LIMIT LINE"
"75","1","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Non-moving Violation, including Registration Violation","t stop expired registration"
"75","2","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Non-moving Violation, including Registration Violation","t stop expired registration"
"76","1","Reasonable Suspicion","66150","640.6(A)(1) PC - GRAFITI:PROP DAMAGE -$250 (I) 66150","Officer witnessed commission of a crime","WITNESSED SUBJ GRAFITI'NG"
"76","2","Reasonable Suspicion","66150","640.6(A)(1) PC - GRAFITI:PROP DAMAGE -$250 (I) 66150","Suspected of Acting as Lookout","SUBJECT STANDING NEAR SUBJECT GRAFITI'NG"
"77","1","Traffic Violation","54544","24407(A) VC - HIGHBEAM PROJECT 350 FEET (I) 54544","Moving Violation","HIGH BEAMS ACTIVATED"
"78","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","FAILED TO STOP AT RED LIGHT"
"79","1","Traffic Violation","66275","21800(C) VC - FL YLD RIGHT OF WAY RIGHT (I) 66275","Moving Violation","ped on scooter nearly causing accident"
"80","1","Reasonable Suspicion","24054","10851(A) VC - VEHICLE THEFT (F) 24054","Matched suspect description","Was in a stolen vehicle"
"81","1","Traffic Violation","66881","38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881","Equipment Violation","License plate light out"
"82","1","Traffic Violation","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644","Equipment Violation","no plates"
"83","1","Reasonable Suspicion","35143","11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143","Matched suspect description","Subject was under the influence of unk substance"
"83","1","Reasonable Suspicion","35143","11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143","Officer witnessed commission of a crime","Subject was under the influence of unk substance"
"84","1","Known to be on Parole / Probation / PRCS / Mandatory Supervision","","","","known person"
"85","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","CELLPHONE"
"86","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","CELLPHONE"
"87","1","Reasonable Suspicion","9005","187(A) PC - MURDER (F) 9005","Other Reasonable Suspicion of a crime","WANTED TO SUICIDE"
"88","1","Traffic Violation","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146","Moving Violation","Violation of Signs"
"89","1","Reasonable Suspicion","23103","488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103","Witness or Victim identification of Suspect at the scene","identifeid by staff as suspect"
"89","2","Reasonable Suspicion","23103","488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103","Witness or Victim identification of Suspect at the scene","id by store staff"
"90","1","Traffic Violation","66449","24951(C) VC - TURN SIGNAL VIOLATION (I) 66449","Moving Violation","DID NOT USE TURN SIGNAL"
"91","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","blocking sidewalk"
"92","1","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Non-moving Violation, including Registration Violation","EXPIRED REGISTRATION"
"93","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","VEH RAN RED"
"94","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","SPEED"
"95","1","Reasonable Suspicion","32100","602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100","Witness or Victim identification of Suspect at the scene","Refused to leave property"
"96","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Equipment Violation","system showed expired reg but driver just got new registration today"
"97","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","SPEED"
"98","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","VEH RAN RED"
"98","2","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","VEH RAN RED"
"98","3","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","VEH RAN RED"
"98","4","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","VEH RAN RED"
"99","1","Traffic Violation","54075","21651(B) VC - DRIVE WRONG WAY:DIV HWY (M) 54075","Moving Violation","VEHICLE DRIVING ON WRONY SIDE OF ROAD"
"100","1","Reasonable Suspicion","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025","Matched suspect description","Subject battered their spouse."
"101","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","did not stop at stop sign limit line"
"102","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","VEH REG EXPIRED"
"103","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","exp reg"
"104","1","Traffic Violation","54522","21456.2(A) VC - BICYCLE OPR OBEY VEH LAWS (I) 54522","Moving Violation","bike stop for no stop at sign"
"105","1","Reasonable Suspicion","24067","10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067","Officer witnessed commission of a crime","CAR CAME BACK AS STOLEN"
"106","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","SPEED"
"107","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Equipment Violation","exp reg"
"108","1","Reasonable Suspicion","50112","166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112","Witness or Victim identification of Suspect at the scene","radio call"
"109","1","Reasonable Suspicion","53130","415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130","Matched suspect description","Subject of a 5150 radio call."
"109","1","Reasonable Suspicion","53130","415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130","Witness or Victim identification of Suspect at the scene","Subject of a 5150 radio call."
"110","1","Known to be on Parole / Probation / PRCS / Mandatory Supervision","","","","violate court order probation"
"111","1","Traffic Violation","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880","Equipment Violation","dark covering on license plate"
"112","1","Reasonable Suspicion","50037","1203.2 PC - PROB VIOL:REARREST/REVOKE (X) 50037","Other Reasonable Suspicion of a crime","male was in the middle of the road and was later determined he was in violation of his probation."
"113","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","speed over 65"
"114","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","SPEEDING"
"115","1","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Matched suspect description","Subject was subject of a 5150 radio call"
"116","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","cell phone"
"117","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","cell phone"
"118","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","speed 65"
"119","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"120","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Equipment Violation","expired registration"
"121","1","Reasonable Suspicion","32102","602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102","Matched suspect description","trespass"
"122","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","SPEED"
"123","1","Reasonable Suspicion","53130","415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130","Other Reasonable Suspicion of a crime","calling for help"
"124","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","traffic"
"125","1","Traffic Violation","54614","26708(A)(2) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54614","Equipment Violation","T I N T"
"126","1","Reasonable Suspicion","53131","415(1) PC - FIGHT/ETC IN PUBLIC PLACE (I) 53131","Matched suspect description","disturbance"
"127","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","traffic"
"128","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","SPEED"
"129","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","SPEEDING, SEE WHATS LISTED DIRECTLY ABOVE THIS LINE"
"130","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Equipment Violation","Expired Registration"
"131","1","Traffic Violation","66943","21651(A)(1) VC - DRV HWY ACROSS DIV SECTN (I) 66943","Moving Violation","SEE ABOVE"
"132","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","subject speeding and ran stop signs. no 4th, no want, no record. verbal warn only"
"133","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"134","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"135","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","CELL PHONE"
"136","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","cell phone"
"137","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","CELL PHONE"
"138","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","cell phone"
"139","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","Speed over 65"
"140","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"141","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"142","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"143","1","Reasonable Suspicion","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111","Officer witnessed commission of a crime","54.0110 SDMC"
"144","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","speed over 65"
"145","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","`speed over 65"
"146","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","CELL PHONE"
"147","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Equipment Violation","expired reg."
"148","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"149","1","Knowledge of outstanding arrest warrant/wanted person","","","","Subject had a out of county probation violation warrant"
"150","1","Reasonable Suspicion","13039","240/242 PC - ASSAULT & BATTERY (M) 13039","Matched suspect description","Subject was detained for fighting coworkers"
"150","1","Reasonable Suspicion","13039","240/242 PC - ASSAULT & BATTERY (M) 13039","Officer witnessed commission of a crime","Subject was detained for fighting coworkers"
"151","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"152","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"153","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"154","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"155","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","SUBJ INSIDE MAKE SHIFT TENT BLOCKING PUBLIC RIGHT OF WAY"
"155","2","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","SUBJ NEXT TO MAKE SHIFT TENT BLOCKING PUBLIC RIGHT OF WAY"
"156","1","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Non-moving Violation, including Registration Violation","t stop expired registration"
"156","2","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Non-moving Violation, including Registration Violation","t stop expired registration"
"157","1","Traffic Violation","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967","Equipment Violation","font headlight out"
"158","1","Reasonable Suspicion","64005","647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005","Officer witnessed commission of a crime","subject arrested for drunk in public"
"159","1","Traffic Violation","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438","Non-moving Violation, including Registration Violation","vehicle was pulled over for occupants smoking marijauna"
"159","2","Traffic Violation","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438","Non-moving Violation, including Registration Violation","smoking marjuana in public"
"159","3","Traffic Violation","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438","Non-moving Violation, including Registration Violation","smoking marjuana in public"
"160","1","Investigation to determine whether the person was truant","","","","Subj had thoughts of suicide"
"161","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","PUBLIC OFFENSE"
"162","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","subject speeding and ran red light, was late for work. c4 verbal warn"
"163","1","Reasonable Suspicion","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111","Officer witnessed commission of a crime","Large amount of property behind business"
"164","1","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Officer witnessed commission of a crime","63.20.13 SDMC Violation of posted signs"
"164","2","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Officer witnessed commission of a crime","63.20.13 SDMC Violation of posted signs"
"165","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","expired registration"
"166","1","Traffic Violation","54122","21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122","Moving Violation","ran a red light"
"167","1","Traffic Violation","54614","26708(A)(2) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54614","Non-moving Violation, including Registration Violation","window tint."
"168","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","unsafe speed"
